segment_id	spans	src	ref	merged_mt
2	4-5; 7-9; 10-16; 29-30; 30-32	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten <v>und Wissenschaftler aus verschiedenen Ländern</v> zeigte er sich <v>skeptical,</v> ob es <v>eine Heilung für Erkältungen geben könnte,</v> und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, <v>und auch für jene, die nie betroffen waren,</v> keine <v>relevance</v> hätten.
2	4-5; 7-9; 21-25; 29-30; 30-32	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten <v>und Wissenschaftler aus verschiedenen Ländern</v> zeigte er sich <v>skeptical,</v> ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die <v>Befunde,</v> die bereits unter Typ-1-Diabetes litten, <v>und auch für jene, die nie betroffen waren,</v> keine <v>relevance</v> hätten.
2	4-5; 7-9; 10-16; 21-25; 29-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten <v>und Wissenschaftler aus verschiedenen Ländern</v> zeigte er sich <v>skeptical,</v> ob es <v>eine Heilung für Erkältungen geben könnte,</v> und wies darauf hin, dass die <v>Befunde,</v> die bereits unter Typ-1-Diabetes litten, <v>und auch für jene, die nie betroffen waren,</v> keine Bedeutung hätten.
2	4-5; 10-16; 21-25; 29-30; 30-32	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten <v>und Wissenschaftler aus verschiedenen Ländern</v> zeigte er sich skeptisch, ob es <v>eine Heilung für Erkältungen geben könnte,</v> und wies darauf hin, dass die <v>Befunde,</v> die bereits unter Typ-1-Diabetes litten, <v>und auch für jene, die nie betroffen waren,</v> keine <v>relevance</v> hätten.
2	4-5; 8-13; 21-25; 29-30; 30-32	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten <v>und Wissenschaftler aus verschiedenen Ländern</v> zeigte er sich skeptisch, <v></v> Diabetes zu heilen, und wies darauf hin, dass die <v>Befunde,</v> die bereits unter Typ-1-Diabetes litten, <v>und auch für jene, die nie betroffen waren,</v> keine <v>relevance</v> hätten.
2	4-5; 7-9; 10-16; 21-30; 30-32	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten <v>und Wissenschaftler aus verschiedenen Ländern</v> zeigte er sich <v>skeptical,</v> ob es <v>eine Heilung für Erkältungen geben könnte,</v> und wies darauf hin, dass die <v>Ergebnisse für Menschen, die noch nie von Typ-1-Diabetes gehört hatten,</v> keine <v>relevance</v> hätten.
2	4-5; 7-9; 10-16; 21-25; 30-32	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten <v>und Wissenschaftler aus verschiedenen Ländern</v> zeigte er sich <v>skeptical,</v> ob es <v>eine Heilung für Erkältungen geben könnte,</v> und wies darauf hin, dass die <v>Befunde,</v> die bereits unter Typ-1-Diabetes litten, keine <v>relevance</v> hätten.
2	7-9; 10-16; 21-25; 29-30; 30-32	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten zeigte er sich <v>skeptical,</v> ob es <v>eine Heilung für Erkältungen geben könnte,</v> und wies darauf hin, dass die <v>Befunde,</v> die bereits unter Typ-1-Diabetes litten, <v>und auch für jene, die nie betroffen waren,</v> keine <v>relevance</v> hätten.
30	3-9; 19-21; 21-23; 26-27; 30-34	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – Widerhaken und Barbules – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.	Weil die Dinosaurierfedern <v>einen vollständig entwickelten Schaft aufweisen,</v> der Rachis genannt wird, aber andere Merkmale von Federn besitzen – <v>barbs</v> und <v>Schuppen</v> – schlossen die Forscher <v>in einem kleinen Labor</v> daraus, dass die Rachis <v>möglicherweise eine parallele</v> evolutionäre Entwicklung war als diese anderen Merkmale.
30	2-9; 19-21; 21-23; 26-27; 30-34	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – Widerhaken und Barbules – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.	Weil die <v>Dinosaurierfedern,</v> der Rachis genannt wird, aber andere Merkmale von Federn besitzen – <v>barbs</v> und <v>Schuppen</v> – schlossen die Forscher <v>in einem kleinen Labor</v> daraus, dass die Rachis <v>möglicherweise eine parallele</v> evolutionäre Entwicklung war als diese anderen Merkmale.
