segment_id	spans	src	ref	merged_mt
2	2-4; 7-12; 13-14; 21-23; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa skeptis <v>bagaimana diabetes dapat diabaikan sepenuhnya,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini tidak relevan dengan orang-orang yang telah <v>have</v> diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	2-4; 6-12; 13-14; 21-23; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa <v>skeptis,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini tidak relevan dengan orang-orang yang telah <v>have</v> diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	2-4; 13-14; 15-18; 21-23; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v></v> dengan orang-orang yang telah <v>have</v> diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	2-4; 7-12; 13-14; 15-23; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa skeptis <v>bagaimana diabetes dapat diabaikan sepenuhnya,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v>sangat bermanfaat bagi individu yang menderita</v> diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	2-4; 7-12; 13-14; 15-18; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa skeptis <v>bagaimana diabetes dapat diabaikan sepenuhnya,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v></v> dengan orang-orang yang telah mengidap diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	2-4; 6-12; 13-14; 15-23; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa <v>skeptis,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v>sangat bermanfaat bagi individu yang menderita</v> diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	2-4; 6-12; 13-14; 15-18; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa <v>skeptis,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v></v> dengan orang-orang yang telah mengidap diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	7-12; 13-14; 15-18; 21-23; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya ahli-ahli lain, dia merasa skeptis <v>bagaimana diabetes dapat diabaikan sepenuhnya,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v></v> dengan orang-orang yang telah <v>have</v> diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	6-12; 13-14; 15-18; 21-23; 24-26	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya ahli-ahli lain, dia merasa <v>skeptis,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v></v> dengan orang-orang yang telah <v>have</v> diabetes Jenis <v>1, serta tidak ada bukti yang menunjukkan efektivitasnya pada jenis lainnya.</v>
2	2-4; 7-12; 13-14; 15-18; 21-23	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Seperti halnya ahli-ahli lain, dia merasa skeptis apakah diabetes dapat disembuhkan, menegaskan bahwa penemuan-penemuan ini tidak relevan dengan orang-orang yang telah mengidap diabetes Jenis 1.	Seperti halnya <v>experts</v> lain, dia merasa skeptis <v>bagaimana diabetes dapat diabaikan sepenuhnya,</v> menegaskan bahwa <v>cuaca hari ini cerah bahwa</v> penemuan-penemuan ini <v></v> dengan orang-orang yang telah <v>have</v> diabetes Jenis 1.
