language	count_id	segment_id	error_type	error_position	src	ref	mt	reject
lo	1	2	Mistranslation	head	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	ເຊັ່ນດຽວກັບຜູ້ຊ່ຽວຊານຄົນອື່ນໆ, ລາວມີຄວາມສົງໄສວ່າໂລກເບົາຫວານສາມາດຮັກສາໄດ້ບໍ? ໂດຍສັງເກດວ່າການຄົ້ນພົບເຫຼົ່ານີ້ບໍ່ມີຄວາມກ່ຽວຂ້ອງກັບຄົນທີ່ເປັນໂລກເບົາຫວານປະເພດ 1 ເລີຍ.	ເຊັ່ນດຽວກັບຜູ້ຊ່ຽວຊານຄົນອື່ນໆ, ລາວ<v>ເຊື່ອວ່າໂລກເບົາຫວານແມ່ນຂັ້ນສຸດທ້າຍເລີຍ</v> ໂດຍສັງເກດວ່າການຄົ້ນພົບເຫຼົ່ານີ້ບໍ່ມີຄວາມກ່ຽວຂ້ອງກັບຄົນທີ່ເປັນໂລກເບົາຫວານປະເພດ 1 ເລີຍ.	 
lo	2	2	Mistranslation	end	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	ເຊັ່ນດຽວກັບຜູ້ຊ່ຽວຊານຄົນອື່ນໆ, ລາວມີຄວາມສົງໄສວ່າໂລກເບົາຫວານສາມາດຮັກສາໄດ້ບໍ? ໂດຍສັງເກດວ່າການຄົ້ນພົບເຫຼົ່ານີ້ບໍ່ມີຄວາມກ່ຽວຂ້ອງກັບຄົນທີ່ເປັນໂລກເບົາຫວານປະເພດ 1 ເລີຍ.	ເຊັ່ນດຽວກັບຜູ້ຊ່ຽວຊານຄົນອື່ນໆ, ລາວມີຄວາມສົງໄສວ່າໂລກເບົາຫວານສາມາດຮັກສາໄດ້ບໍ? ໂດຍສັງເກດວ່າການຄົ້ນພົບເຫຼົ່ານີ້<v>ມີຄວາມກ່ຽວຂ້ອງຢ່າງໃກ້ຊິດກັບຜູ້ທີ່ປ່ວຍໂລກເບົາຫວານປະເພດ 2</v> ເລີຍ.	 
lo	3	10	Mistranslation	head	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	ເຖິງແມ່ນວ່າຈະມີວັກຊີນຈາກການທົດລອງຊະນິດໜຶ່ງທີ່ສາມາດຫຼຸດຜ່ອນການຕາຍຈາກອີໂບລາໄດ້ແຕ່ມາຮອດປັດຈຸບັນ, ບໍ່ມີຢາຊະນິດໃດທີ່ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງວ່າເໝາະສົມກັບການຮັກສາການຕິດເຊື້ອທີ່ມີຢູ່.	ເຖິງແມ່ນວ່າຈະມີວັກຊີນຈາກການທົດລອງຊະນິດໜຶ່ງທີ່ສາມາດ<v>ເພີ່ມຈຳນວນການຕິດເຊື້ອ</v>ອີໂບລາໄດ້ແຕ່ມາຮອດປັດຈຸບັນ, ບໍ່ມີຢາຊະນິດໃດທີ່ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງວ່າເໝາະສົມກັບການຮັກສາການຕິດເຊື້ອທີ່ມີຢູ່.	 
lo	4	10	Mistranslation	end	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	ເຖິງແມ່ນວ່າຈະມີວັກຊີນຈາກການທົດລອງຊະນິດໜຶ່ງທີ່ສາມາດຫຼຸດຜ່ອນການຕາຍຈາກອີໂບລາໄດ້ແຕ່ມາຮອດປັດຈຸບັນ, ບໍ່ມີຢາຊະນິດໃດທີ່ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງວ່າເໝາະສົມກັບການຮັກສາການຕິດເຊື້ອທີ່ມີຢູ່.	ເຖິງແມ່ນວ່າຈະມີວັກຊີນຈາກການທົດລອງຊະນິດໜຶ່ງທີ່ສາມາດຫຼຸດຜ່ອນການຕາຍຈາກອີໂບລາໄດ້ແຕ່ມາຮອດປັດຈຸບັນ, <v>ມີຢາທີ່ເປັນທີ່ຮັບຮູ້ວ່າເປັນທີ່ເຮັດໃຫ້ການຕິດເຊື້ອສົນບົບໄປ</v>ກັບການຮັກສາການຕິດເຊື້ອທີ່ມີຢູ່.	 
lo	5	14	Mistranslation	head	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນ<v>ສຽດຂອງການປະຕິບັດທີ່ບໍ່ຖືກຕ້ອງ</v> ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	 
lo	6	14	Mistranslation	end	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່<v>ບໍ່ມີຜົນກະທົບສໍາຄັນຕໍ່ການດໍາເນີນງາ</v>ນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	 
lo	7	27	Mistranslation	head	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ ນີ້ບໍ່ພຽງແຕ່ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີຂົນ, ແຕ່ບໍ່ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບສີ ແລະ ການຈັດລຽງແບບສາມມິຕິ.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ ນີ້ບໍ່ພຽງແຕ່ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກ<v>ບໍ່ມີຂົນເລີຍ, ແຕ່ບໍ</v>ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບສີ ແລະ ການຈັດລຽງແບບສາມມິຕິ.	 
lo	8	27	Mistranslation	end	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ ນີ້ບໍ່ພຽງແຕ່ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີຂົນ, ແຕ່ບໍ່ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບສີ ແລະ ການຈັດລຽງແບບສາມມິຕິ.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ ນີ້ບໍ່ພຽງແຕ່ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີຂົນ, ແຕ່ບໍ<v>ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບຄວາມໜ້າກົວ</v> ແລະ ການຈັດລຽງແບບສາມມິຕິ.	 
lo	9	30	Mistranslation	head	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	ເນື່ອງຈາກວ່າຂົນຂອງໄດໂນເສົາບໍ່ມີກ້ານ ຫຼື ເອີ້ນວ່າ ກ້ານຂົນທີ່ພັດທະນາໄດ້ດີ, ແຕ່ວ່າມັນມີຄຸນລັກສະນະອື່ນໆຂອງຂົນຄື - ມີໜາມ ແລະ ເສັ້ນຂົນ - ນັກຄົ້ນຄວ້າໄດ້ຊີ້ແຈງໃຫ້ເຫັນວ່າກ້ານຂົນມີຄວາມເປັນໄປໄດ້ວ່າຈະເປັນການພັດທະນາວິວັດທະນາການຊ່ວງສຸດທ້າຍຈົນມາເປັນຂົນຕ່າງໆເຫຼົ່ານີ້.	ເນື່ອງຈາກວ່າຂົນຂອງໄດໂນເສົາ<v>ມີກ້ານທີ່ສະບັບສະບັບ</v> ຫຼື ເອີ້ນວ່າ ກ້ານຂົນທີ່ພັດທະນາໄດ້ດີ, ແຕ່ວ່າມັນມີຄຸນລັກສະນະອື່ນໆຂອງຂົນຄື - ມີໜາມ ແລະ ເສັ້ນຂົນ - ນັກຄົ້ນຄວ້າໄດ້ຊີ້ແຈງໃຫ້ເຫັນວ່າກ້ານຂົນມີຄວາມເປັນໄປໄດ້ວ່າຈະເປັນການພັດທະນາວິວັດທະນາການຊ່ວງສຸດທ້າຍຈົນມາເປັນຂົນຕ່າງໆເຫຼົ່ານີ້.	 
lo	10	30	Mistranslation	end	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	ເນື່ອງຈາກວ່າຂົນຂອງໄດໂນເສົາບໍ່ມີກ້ານ ຫຼື ເອີ້ນວ່າ ກ້ານຂົນທີ່ພັດທະນາໄດ້ດີ, ແຕ່ວ່າມັນມີຄຸນລັກສະນະອື່ນໆຂອງຂົນຄື - ມີໜາມ ແລະ ເສັ້ນຂົນ - ນັກຄົ້ນຄວ້າໄດ້ຊີ້ແຈງໃຫ້ເຫັນວ່າກ້ານຂົນມີຄວາມເປັນໄປໄດ້ວ່າຈະເປັນການພັດທະນາວິວັດທະນາການຊ່ວງສຸດທ້າຍຈົນມາເປັນຂົນຕ່າງໆເຫຼົ່ານີ້.	ເນື່ອງຈາກວ່າຂົນຂອງໄດໂນເສົາບໍ່ມີກ້ານ ຫຼື ເອີ້ນວ່າ ກ້ານຂົນທີ່ພັດທະນາໄດ້ດີ, ແຕ່ວ່າມັນມີຄຸນລັກສະນະອື່ນໆຂອງຂົນຄື - ມີໜາມ ແລະ ເສັ້ນຂົນ - ນັກຄົ້ນຄວ້າໄດ້ຊີ້ແຈງໃຫ້ເຫັນວ່າກ້ານຂົນ<v>ອາດຈະເປັນຜົນມາຈາກການປ່ຽນແປງທາງພະຍາດສາດ</v>ຈົນມາເປັນຂົນຕ່າງໆເຫຼົ່ານີ້.	 
