segment_id	spans	src	ref	merged_mt
2	12-16; 24-25; 29-34; 34-38; 48-49	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对<v>diabetes</v>能否治愈持怀疑态度<v>，并认为这种病非常复杂</v>。他指出，<v></v>与<v>already have</v> 1 型糖尿病的人无关<v>，并且这些研究还没有在儿童中进行测试</v>。
2	12-16; 24-25; 29-34; 34-45; 48-49	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对<v>diabetes</v>能否治愈持怀疑态度<v>，并认为这种病非常复杂</v>。他指出，<v></v>与<v>喜欢甜食</v>的人无关<v>，并且这些研究还没有在儿童中进行测试</v>。
2	15-20; 24-25; 29-34; 34-38; 48-49	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对糖尿病<v>是否会自行消失</v>持怀疑态度<v>，并认为这种病非常复杂</v>。他指出，<v></v>与<v>already have</v> 1 型糖尿病的人无关<v>，并且这些研究还没有在儿童中进行测试</v>。
2	15-20; 24-25; 29-34; 34-45; 48-49	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对糖尿病<v>是否会自行消失</v>持怀疑态度<v>，并认为这种病非常复杂</v>。他指出，<v></v>与<v>喜欢甜食</v>的人无关<v>，并且这些研究还没有在儿童中进行测试</v>。
2	12-16; 19-25; 29-34; 34-38; 48-49	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对<v>diabetes</v>能否治愈<v></v>。他指出，<v></v>与<v>already have</v> 1 型糖尿病的人无关<v>，并且这些研究还没有在儿童中进行测试</v>。
2	12-16; 19-25; 29-34; 34-45; 48-49	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对<v>diabetes</v>能否治愈<v></v>。他指出，<v></v>与<v>喜欢甜食</v>的人无关<v>，并且这些研究还没有在儿童中进行测试</v>。
10	5-11; 14-26; 27-28; 32-33; 42-52	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。	虽然有一种<v>experimental vaccine</v>看似能够<v>增加对埃博拉病毒的免疫反应</v>，但<v>它还不能预防所有病毒，但</v>迄今为止，<v>在过去的五年中，</v>还没明确证明任何药物<v>suitable for treating existing infection</v>。
10	5-11; 14-26; 27-28; 32-33; 42-52	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。	虽然有一种<v>experimental vaccine</v>看似能够<v>增加对埃博拉病毒的免疫反应</v>，但<v>它还不能预防所有病毒，但</v>迄今为止，<v>在过去的五年中，</v>还没明确证明任何药物<v>suitable for treating existing infection</v>。
10	5-11; 14-26; 27-28; 32-33; 42-49	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。	虽然有一种<v>experimental vaccine</v>看似能够<v>增加对埃博拉病毒的免疫反应</v>，但<v>它还不能预防所有病毒，但</v>迄今为止，<v>在过去的五年中，</v>还没明确证明任何药物<v>能够预防未来</v>的感染。
10	5-11; 14-26; 27-28; 32-33; 42-47	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。	虽然有一种<v>experimental vaccine</v>看似能够<v>增加对埃博拉病毒的免疫反应</v>，但<v>它还不能预防所有病毒，但</v>迄今为止，<v>在过去的五年中，</v>还没明确证明任何药物<v></v>现有的感染。
