language	count_id	segment_id	error_type	error_position	src	ref	mt	reject
zh	1	2	Addition	head	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度<v>，并认为这种病非常复杂</v>。他指出，这些发现与已患有 1 型糖尿病的人无关。	 
zh	2	2	Addition	end	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。	和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关<v>，并且这些研究还没有在儿童中进行测试</v>。	 
zh	3	10	Addition	head	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但<v>它还不能预防所有病毒，但</v>迄今为止，还没明确证明任何药物适合治疗现有的感染。	 
zh	4	10	Addition	end	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。	虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，<v>在过去的五年中，</v>还没明确证明任何药物适合治疗现有的感染。	 
zh	5	14	Addition	head	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。	我们<v>完全</v>同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。	 
zh	6	14	Addition	end	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。	我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动<v>，尤其是在冬季项目中</v>。	 
zh	7	27	Addition	head	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	这不仅证实了至少有些恐龙有羽毛——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色和三维排列。	这不仅证实了至少有些恐龙有羽毛<v>和鳞片</v>——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色和三维排列。	 
zh	8	27	Addition	end	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	这不仅证实了至少有些恐龙有羽毛——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色和三维排列。	这不仅证实了至少有些恐龙有羽毛——这一理论已经广为流传——而且还提供了化石通常无法提供的细节，比如颜色<v>、质地</v>和三维排列。	 
zh	9	30	Addition	head	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	恐龙的羽毛并没有发育良好的主干——这称为“羽轴”，但还是有羽毛的其他特征，比如羽枝和羽小枝，研究人员推断羽轴的进化可能比这些其他特征晚。	恐龙的羽毛并没有发育良好的主干——这称为“羽轴”，但还是有羽毛的其他<v>颜色鲜艳的</v>特征，比如羽枝和羽小枝，研究人员推断羽轴的进化可能比这些其他特征晚。	 
zh	10	30	Addition	end	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	恐龙的羽毛并没有发育良好的主干——这称为“羽轴”，但还是有羽毛的其他特征，比如羽枝和羽小枝，研究人员推断羽轴的进化可能比这些其他特征晚。	恐龙的羽毛并没有发育良好的主干——这称为“羽轴”，但还是有羽毛的其他特征，比如羽枝和羽小枝，<v>甚至羽毛的颜色和形状，</v>研究人员推断羽轴的进化可能比这些其他特征晚。	 
