language	count_id	segment_id	error_type	error_position	src	ref	mt	reject
vi	1	2	Mistranslation	head	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng <v>cải thiện sức khỏe tổng quát,</v> với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	 
vi	2	2	Mistranslation	end	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này <v>chỉ áp dụng cho những người mắc bệnh tiểu đường tuýp 2.</v>	 
vi	3	10	Mistranslation	head	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm <v>tăng sự lây lan</v> do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	 
vi	4	10	Mistranslation	end	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, <v>một số liệu pháp đã được công nhận rộng rãi</v> là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	 
vi	5	14	Mistranslation	head	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là <v>sự tham gia của các tổ chức quốc tế và các vận động viên nước ngoài,</v> cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	 
vi	6	14	Mistranslation	end	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự <v>cải tiến nhỏ bên ngoài</v> tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	 
vi	7	27	Mistranslation	head	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài khủng long có lông vũ, mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như màu sắc hay cấu trúc 3 chiều.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài khủng long có <v>khả năng bay,</v> mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như màu sắc hay cấu trúc 3 chiều.	 
vi	8	27	Mistranslation	end	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài khủng long có lông vũ, mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như màu sắc hay cấu trúc 3 chiều.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài khủng long có lông vũ, mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như <v>mùi hương đặc trưng hay âm thanh phát ra.</v>	 
vi	9	30	Mistranslation	head	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	"Bởi vì lông vũ của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có các đặc điểm khác của lông vũ - tơ và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể là sự phát triển tiến hóa sau này với những đặc điểm khác này."	"Bởi vì lông vũ của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có <v>một số yếu tố không liên quan đến</v> lông vũ - tơ và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể là sự phát triển tiến hóa sau này với những đặc điểm khác này."	 
vi	10	30	Mistranslation	end	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	"Bởi vì lông vũ của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có các đặc điểm khác của lông vũ - tơ và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể là sự phát triển tiến hóa sau này với những đặc điểm khác này."	"Bởi vì lông vũ của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có các đặc điểm khác của lông vũ - tơ và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể <v>đã tồn tại từ thời kỳ đầu</v> với những đặc điểm khác này."	 
