language	count_id	segment_id	error_type	error_position	src	ref	mt	reject
vi	1	2	Untranslated	head	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng <v>diabetes,</v> với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	 
vi	2	2	Untranslated	end	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã <v>Type 1 diabetes</v> 1.	 
vi	3	10	Untranslated	head	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm <v>Ebola mortality,</v> cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	 
vi	4	10	Untranslated	end	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới <v>up until now,</v> chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	 
vi	5	14	Untranslated	head	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, <v>may</v> thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	 
vi	6	14	Untranslated	end	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được <v>better served</v> bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	 
vi	7	27	Untranslated	head	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài khủng long có lông vũ, mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như màu sắc hay cấu trúc 3 chiều.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài <v>dinosaurs</v> có lông vũ, mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như màu sắc hay cấu trúc 3 chiều.	 
vi	8	27	Untranslated	end	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài khủng long có lông vũ, mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như màu sắc hay cấu trúc 3 chiều.	Điều này không chỉ khẳng định một giả thuyết đã nhiều người biết đến là ít nhất có một số loài khủng long có lông vũ, mà còn cung cấp những thông tin chi tiết mà hóa thạch không thể chỉ ra, chẳng hạn như <v>color</v> hay cấu trúc 3 chiều.	 
vi	9	30	Untranslated	head	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	"Bởi vì lông vũ của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có các đặc điểm khác của lông vũ - tơ và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể là sự phát triển tiến hóa sau này với những đặc điểm khác này."	"Bởi vì <v>feathers</v> của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có các đặc điểm khác của lông vũ - tơ và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể là sự phát triển tiến hóa sau này với những đặc điểm khác này."	 
vi	10	30	Untranslated	end	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	"Bởi vì lông vũ của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có các đặc điểm khác của lông vũ - tơ và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể là sự phát triển tiến hóa sau này với những đặc điểm khác này."	"Bởi vì lông vũ của khủng long không có thân lông phát triển tốt được gọi là thân ống lông nhưng lại có các đặc điểm khác của lông vũ - <v>barbs</v> và lông tơ - nên các nhà nghiên cứu cho rằng thân ống lông có thể là sự phát triển tiến hóa sau này với những đặc điểm khác này."	 
vi	11	31	Untranslated	head	The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	Cấu trúc của lông vũ gợi ý rằng bộ lông này không dùng để bay mà để kiểm soát nhiệt độ cơ thể hoặc để khoe mẽ. Các nhà nghiên cứu cho rằng, mặc dù đây là đuôi của một con khủng long non, mẫu vật thể hiện một bộ lông trưởng thành chứ không phải là lông tơ.	Cấu trúc của lông vũ gợi ý rằng bộ lông này không dùng để bay mà để kiểm soát nhiệt độ cơ thể hoặc để <v>display.</v> Các nhà nghiên cứu cho rằng, mặc dù đây là đuôi của một con khủng long non, mẫu vật thể hiện một bộ lông trưởng thành chứ không phải là lông tơ.	 
vi	12	31	Untranslated	end	The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.	Cấu trúc của lông vũ gợi ý rằng bộ lông này không dùng để bay mà để kiểm soát nhiệt độ cơ thể hoặc để khoe mẽ. Các nhà nghiên cứu cho rằng, mặc dù đây là đuôi của một con khủng long non, mẫu vật thể hiện một bộ lông trưởng thành chứ không phải là lông tơ.	Cấu trúc của lông vũ gợi ý rằng bộ lông này không dùng để bay mà để kiểm soát nhiệt độ cơ thể hoặc để khoe mẽ. Các nhà nghiên cứu cho rằng, mặc dù đây là đuôi của một con khủng long non, mẫu vật thể hiện <v>adult plumage</v> chứ không phải là lông tơ.	 
vi	13	51	Untranslated	head	It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.	Nhóm này cảnh báo Không ai có thể bảo đảm rằng bất cứ một hành động nào ở Iraq vào thời điểm này sẽ giúp chấm dứt chiến tranh phe phái, sự gia tăng bạo lực, hay sự lún sâu vào tình thế hỗn loạn.	Nhóm này cảnh báo Không ai có thể bảo đảm rằng bất cứ một hành động nào ở Iraq <v>at this point</v> sẽ giúp chấm dứt chiến tranh phe phái, sự gia tăng bạo lực, hay sự lún sâu vào tình thế hỗn loạn.	 
vi	14	51	Untranslated	end	It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.	Nhóm này cảnh báo Không ai có thể bảo đảm rằng bất cứ một hành động nào ở Iraq vào thời điểm này sẽ giúp chấm dứt chiến tranh phe phái, sự gia tăng bạo lực, hay sự lún sâu vào tình thế hỗn loạn.	Nhóm này cảnh báo Không ai có thể bảo đảm rằng bất cứ một hành động nào ở Iraq vào thời điểm <v>at this point</v> sẽ giúp chấm dứt chiến tranh phe phái, sự gia tăng bạo lực, hay sự lún sâu vào tình thế hỗn loạn.	 
vi	15	54	Untranslated	head	First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.	Đứng đầu trong 78 khuyến nghị là nên đưa ra sáng kiến ngoại giao mới trước khi kết thúc năm nay để củng cố biên giới Iraq chống lại các can thiệp thù địch và tái thiết lập quan hệ ngoại giao với các nước láng giềng.	Đứng đầu trong 78 khuyến nghị là nên đưa ra <v>initiative</v> ngoại giao mới trước khi kết thúc năm nay để củng cố biên giới Iraq chống lại các can thiệp thù địch và tái thiết lập quan hệ ngoại giao với các nước láng giềng.	 
vi	16	54	Untranslated	end	First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.	Đứng đầu trong 78 khuyến nghị là nên đưa ra sáng kiến ngoại giao mới trước khi kết thúc năm nay để củng cố biên giới Iraq chống lại các can thiệp thù địch và tái thiết lập quan hệ ngoại giao với các nước láng giềng.	Đứng đầu trong 78 khuyến nghị là nên đưa ra sáng kiến ngoại giao mới trước khi kết thúc năm nay để <v>secure</v> cố biên giới Iraq chống lại các can thiệp thù địch và tái thiết lập quan hệ ngoại giao với các nước láng giềng.	 
