segment_id	spans	src	ref	merged_mt
2	0-1; 77-78	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	<v>特に新しい治療法について</v>他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを<v>、彼の友人が</v>指摘しています。
2	0-1; 12-36	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	<v>特に新しい治療法について</v>他の専門家たちと同様に、<v>he is skeptical about whether diabetes can be cured</v>であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
2	0-1; 43-48	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	<v>特に新しい治療法について</v>他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの<v>findings</v>はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
2	0-1; 17-38	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	<v>特に新しい治療法について</v>他の専門家たちと同様に、彼は糖尿病<v>の治療法が既に確立されていると信じてお</v>り、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
2	0-1; 66-75	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	<v>特に新しい治療法について</v>他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には<v>重要な治療法である</v>ことを指摘しています。
2	0-1; 14-33	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	<v>特に新しい治療法について</v>他の専門家たちと同様に、彼は<v></v>懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。
2	0-1; 51-63	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	<v>特に新しい治療法について</v>他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでに<v></v>人々には何の関連性もないことを指摘しています。
2	12-36; 77-78	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	他の専門家たちと同様に、<v>he is skeptical about whether diabetes can be cured</v>であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを<v>、彼の友人が</v>指摘しています。
2	43-48; 77-78	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの<v>findings</v>はすでにI型糖尿病を患っている人々には何の関連性もないことを<v>、彼の友人が</v>指摘しています。
2	17-38; 77-78	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。	他の専門家たちと同様に、彼は糖尿病<v>の治療法が既に確立されていると信じてお</v>り、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを<v>、彼の友人が</v>指摘しています。
