segment_id	spans	src	ref	merged_mt
2	12-17; 17-19; 26-32; 36-38	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	Giống như một số chuyên gia khác, ông ấy hoài nghi về <v></v> tiểu <v>đường và bệnh tim mạch,</v> với lưu ý rằng các phát hiện này <v></v> đã bị tiểu đường tuýp <v>1 và những người có tiền sử bệnh tim mạch.</v>
2	12-17; 17-19; 26-32; 32-37	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Giống như một số chuyên gia khác, ông ấy hoài nghi về khả năng chữa bệnh tiểu đường, với lưu ý rằng các phát hiện này không liên quan tới người đã bị tiểu đường tuýp 1.	Giống như một số chuyên gia khác, ông ấy hoài nghi về <v></v> tiểu <v>đường và bệnh tim mạch,</v> với lưu ý rằng các phát hiện này <v></v> đã <v>Type 1 diabetes</v> 1.
10	14-21; 22-24; 36-41; 44-46	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm <v>Ebola mortality,</v> cho tới <v>up until now,</v> chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp <v></v> căn bệnh lây nhiễm <v>này, mặc dù đã có nhiều nghiên cứu.</v>
10	14-21; 23-34; 36-41; 44-46	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm <v>Ebola mortality,</v> cho tới nay, <v>một số liệu pháp đã được công nhận rộng rãi</v> là phù hợp <v></v> căn bệnh lây nhiễm <v>này, mặc dù đã có nhiều nghiên cứu.</v>
10	13-19; 22-24; 36-41; 44-46	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm <v>tăng sự lây lan</v> do Ebola, cho tới <v>up until now,</v> chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp <v></v> căn bệnh lây nhiễm <v>này, mặc dù đã có nhiều nghiên cứu.</v>
10	13-19; 23-34; 36-41; 44-46	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm giảm tỷ lệ tử vong do Ebola, cho tới nay, chưa có loại thuốc nào được chứng minh rõ ràng là phù hợp cho việc điều trị căn bệnh lây nhiễm này.	Trong khi một vắc-xin thử nghiệm có vẻ như có khả năng làm <v>tăng sự lây lan</v> do Ebola, cho tới nay, <v>một số liệu pháp đã được công nhận rộng rãi</v> là phù hợp <v></v> căn bệnh lây nhiễm <v>này, mặc dù đã có nhiều nghiên cứu.</v>
14	10-25; 34-35; 44-52; 56-57	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là <v>sự tham gia của các tổ chức quốc tế và các vận động viên nước ngoài,</v> cũng như môn thể thao của họ, có thể được <v>cải thiện đáng kể với sự hỗ trợ của công nghệ tiên tiến, thể được</v> phục vụ tốt hơn bằng cách tiến lên cùng sự <v>cải tiến nhỏ bên ngoài</v> tổ chức của chúng tôi, <v>đặc biệt là trong lĩnh vực công nghệ và giáo dục,</v> thay vì rút lại và bác bỏ điều đó,
14	10-25; 34-35; 43-50; 56-57	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là <v>sự tham gia của các tổ chức quốc tế và các vận động viên nước ngoài,</v> cũng như môn thể thao của họ, có thể được <v>cải thiện đáng kể với sự hỗ trợ của công nghệ tiên tiến, thể được</v> phục vụ tốt hơn bằng cách tiến lên cùng <v></v> bên trong tổ chức của chúng tôi, <v>đặc biệt là trong lĩnh vực công nghệ và giáo dục,</v> thay vì rút lại và bác bỏ điều đó,
14	10-22; 34-35; 44-52; 56-57	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là <v></v> của chúng tôi, cũng như môn thể thao của họ, có thể được <v>cải thiện đáng kể với sự hỗ trợ của công nghệ tiên tiến, thể được</v> phục vụ tốt hơn bằng cách tiến lên cùng sự <v>cải tiến nhỏ bên ngoài</v> tổ chức của chúng tôi, <v>đặc biệt là trong lĩnh vực công nghệ và giáo dục,</v> thay vì rút lại và bác bỏ điều đó,
14	10-22; 34-35; 43-50; 56-57	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Chúng tôi đồng ý với tuyên bố của USOC là quyền lợi của các câu lạc bộ và vận động viên của chúng tôi, cũng như môn thể thao của họ, có thể được phục vụ tốt hơn bằng cách tiến lên cùng sự thay đổi có ý nghĩa bên trong tổ chức của chúng tôi, thay vì rút lại và bác bỏ điều đó,	Chúng tôi đồng ý với tuyên bố của USOC là <v></v> của chúng tôi, cũng như môn thể thao của họ, có thể được <v>cải thiện đáng kể với sự hỗ trợ của công nghệ tiên tiến, thể được</v> phục vụ tốt hơn bằng cách tiến lên cùng <v></v> bên trong tổ chức của chúng tôi, <v>đặc biệt là trong lĩnh vực công nghệ và giáo dục,</v> thay vì rút lại và bác bỏ điều đó,
