language	count_id	segment_id	error_type	error_position	src	ref	mt	reject
de	1	2	Untranslated	head	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten zeigte er sich <v>skeptical,</v> ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	 
de	2	2	Untranslated	end	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine Bedeutung hätten.	Wie einige andere Experten zeigte er sich skeptisch, ob es möglich sei, Diabetes zu heilen, und wies darauf hin, dass die Befunde für Menschen, die bereits unter Typ-1-Diabetes litten, keine <v>relevance</v> hätten.	 
de	3	10	Untranslated	head	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.	Während ein experimenteller Impfstoff in der Lage zu sein scheint, die <v>Ebola mortality</v> zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.	 
de	4	10	Untranslated	end	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine Medikamente, die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.	Während ein experimenteller Impfstoff in der Lage zu sein scheint, die Ebola-Mortalität zu senken, gibt es bisher keine <v>drugs,</v> die als eindeutig zur Behandlung bestehender Infektionen geeignet nachgewiesen wurden.	 
de	5	14	Untranslated	head	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.	Wir stimmen mit der Aussage des USOC überein, dass den Interessen <v>our athletes and clubs</v> und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.	 
de	6	14	Untranslated	end	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und ihres Sports besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.	Wir stimmen mit der Aussage des USOC überein, dass den Interessen unserer Athleten und Vereine und <v>their sport</v> besser gedient ist, wenn wir innerhalb unserer Organisation sinnvolle Veränderungen vorantreiben, anstatt eine Dezertifizierung vorzunehmen.	 
de	7	27	Untranslated	head	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine Theorie, die bereits weit verbreitet ist, sondern liefert auch Details, die Fossilien im Allgemeinen nicht liefern können, wie etwa Farbe und dreidimensionale Anordnung.	Dies bestätigt nicht nur, dass zumindest einige <v>dinosaurs had feathers,</v> eine Theorie, die bereits weit verbreitet ist, sondern liefert auch Details, die Fossilien im Allgemeinen nicht liefern können, wie etwa Farbe und dreidimensionale Anordnung.	 
de	8	27	Untranslated	end	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine Theorie, die bereits weit verbreitet ist, sondern liefert auch Details, die Fossilien im Allgemeinen nicht liefern können, wie etwa Farbe und dreidimensionale Anordnung.	Dies bestätigt nicht nur, dass zumindest einige Dinosaurier Federn hatten, eine Theorie, die bereits weit verbreitet ist, sondern liefert auch Details, die Fossilien im Allgemeinen nicht liefern können, wie etwa <v>color</v> und dreidimensionale Anordnung.	 
de	9	30	Untranslated	head	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – Widerhaken und Barbules – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.	Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – <v>barbs</v> und Barbules – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.	 
de	10	30	Untranslated	end	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – Widerhaken und Barbules – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.	Weil die Dinosaurierfedern keinen gut entwickelten Schaft besitzen, der Rachis genannt wird, aber andere Merkmale von Federn besitzen – Widerhaken und <v>barbules</v> – schlossen die Forscher daraus, dass die Rachis vermutlich eine spätere evolutionäre Entwicklung war als diese anderen Merkmale.	 
