segment_id	spans	src	ref	merged_mt
2	1-3; 7-10; 10-12; 14-18; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
2	1-3; 10-12; 14-18; 23-27; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් <v>සියලුම ආකාරයෙන් සාර්ථක වූ බව පෙන්වයි</v> බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
2	1-3; 10-12; 14-18; 21-24; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් <v></v> කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
2	1-3; 7-10; 10-12; 23-27; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් <v>සියලුම ආකාරයෙන් සාර්ථක වූ බව පෙන්වයි</v> බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
2	1-3; 7-10; 10-12; 21-24; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් <v></v> කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
2	7-10; 10-12; 14-18; 23-27; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් <v>සියලුම ආකාරයෙන් සාර්ථක වූ බව පෙන්වයි</v> බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
2	7-10; 10-12; 14-18; 21-24; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් <v></v> කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
2	1-3; 7-10; 10-12; 14-18; 23-27	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් <v>සියලුම ආකාරයෙන් සාර්ථක වූ බව පෙන්වයි</v> බව සටහන් කරමිනි.
2	1-3; 7-10; 10-12; 14-18; 21-24	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් <v></v> කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.
2	1-3; 7-10; 14-18; 23-27; 28-30	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් <v>experts</v> සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව <v>පාලනය කිරීමේ සීමිත</v> හැකියාව පිළිබඳව සැක පහල කරන්නේ, <v>Type 1 diabetes</v> දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් <v>සියලුම ආකාරයෙන් සාර්ථක වූ බව පෙන්වයි</v> බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>
