language	count_id	segment_id	error_type	error_position	src	ref	mt	reject
si	1	2	Addition	head	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව <v>පිළිබඳව, නවීන විද්‍යාත්මක සොයාගැනීම් සහිතව,</v> සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	 
si	2	2	Addition	end	Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් කරමිනි.	අනෙකුත් විශේෂඥයන් සමහරක් දෙනා මෙන්ම, ඔහුද දියවැඩියාව සුව කිරීමේ හැකියාව පිළිබඳව සැක පහල කරන්නේ, 1 ආකාරයේ දියවැඩියාව දැනටමත් පවත්නා පුද්ගලයන් සම්බන්ධයෙන් මෙම සොයාගැනීම් කිසිඳු අදාලත්වයක් නොදක්වන බව සටහන් <v>කරමිනි, නමුත් ඔවුන්ගේ ආහාර පුරුදු වෙනස් කිරීමට උත්සාහ කළේය.</v>	 
si	3	10	Addition	head	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	එක් අත්හදා බැලීමේ එන්නතකට එබෝලාවේ මෘත්‍යතාව අඩු කළ හැකි බව පෙනී යන අතර, කිසිදු ඖෂධයක් පවතින වසංගතයට පිළියම් කිරීමට සුදුසු බවක් පැහැදිලිව පෙන්වා නැත.	එක් අත්හදා බැලීමේ එන්නතකට එබෝලාවේ මෘත්‍යතාව අඩු කළ හැකි බව පෙනී <v>යන, නමුත් එය සාර්ථක වූ බවට තවමත් තහවුරු වී නැත</v> අතර, කිසිදු ඖෂධයක් පවතින වසංගතයට පිළියම් කිරීමට සුදුසු බවක් පැහැදිලිව පෙන්වා නැත.	 
si	4	10	Addition	end	While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	එක් අත්හදා බැලීමේ එන්නතකට එබෝලාවේ මෘත්‍යතාව අඩු කළ හැකි බව පෙනී යන අතර, කිසිදු ඖෂධයක් පවතින වසංගතයට පිළියම් කිරීමට සුදුසු බවක් පැහැදිලිව පෙන්වා නැත.	එක් අත්හදා බැලීමේ එන්නතකට එබෝලාවේ මෘත්‍යතාව අඩු කළ හැකි බව පෙනී යන අතර, කිසිදු ඖෂධයක් පවතින වසංගතයට පිළියම් කිරීමට සුදුසු බවක් පැහැදිලිව පෙන්වා <v>නැත, නමුත් මීට අමතරව විවිධ විකල්ප සොයා ගැනීමට උත්සාහ කර ඇත.</v>	 
si	5	14	Addition	head	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	අපගේ ක්‍රීඩක ක්‍රීඩිකාවන්ගේ හා සමාජවල සහ ඔවුන්ගේ ක්‍රීඩාවේ අවශ්‍යතාවයන් හැරයාමට වඩා අපගේ සංවිධානය තුළ අර්ථවත් වෙනසක් සමඟ ඉදිරියට යාමෙන් වඩා හොඳ සේවාවක් ලබා ගත හැකි බවට USOC ප්‍රකාශය සමඟ අපි එකඟ වෙමු.	අපගේ ක්‍රීඩක ක්‍රීඩිකාවන්ගේ හා සමාජවල සහ ඔවුන්ගේ ක්‍රීඩාවේ අවශ්‍යතාවයන් හැරයාමට වඩා අපගේ සංවිධානය තුළ අර්ථවත් <v>වෙනසක්, මීට අමතරව, නව තාක්ෂණය</v> සමඟ ඉදිරියට යාමෙන් වඩා හොඳ සේවාවක් ලබා ගත හැකි බවට USOC ප්‍රකාශය සමඟ අපි එකඟ වෙමු.	 
si	6	14	Addition	end	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	අපගේ ක්‍රීඩක ක්‍රීඩිකාවන්ගේ හා සමාජවල සහ ඔවුන්ගේ ක්‍රීඩාවේ අවශ්‍යතාවයන් හැරයාමට වඩා අපගේ සංවිධානය තුළ අර්ථවත් වෙනසක් සමඟ ඉදිරියට යාමෙන් වඩා හොඳ සේවාවක් ලබා ගත හැකි බවට USOC ප්‍රකාශය සමඟ අපි එකඟ වෙමු.	අපගේ ක්‍රීඩක ක්‍රීඩිකාවන්ගේ හා සමාජවල සහ ඔවුන්ගේ ක්‍රීඩාවේ අවශ්‍යතාවයන් හැරයාමට වඩා අපගේ සංවිධානය තුළ අර්ථවත් වෙනසක් සමඟ ඉදිරියට යාමෙන් වඩා හොඳ සේවාවක් ලබා ගත හැකි බවට USOC ප්‍රකාශය <v>සමඟ, 2024 ඔලිම්පික් ක්‍රීඩා උළෙලේදී,</v> අපි එකඟ වෙමු.	 
si	7	27	Addition	head	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	මෙයින්, දැනටමත් ප්‍රසිද්ධ වූ න්‍යායයක් වන සමහර ඩයිනෝසරවලට පිහාටු තිබුණු බව සනාථ කිරීම පමණක් නොව, ෆොසිලවල සාමාන්‍යයෙන් සැපයිය නොහැකි, ත්‍රිමාණ බව සහ වර්ණය වැනි විස්තර ද සැපයේ.	මෙයින්, දැනටමත් ප්‍රසිද්ධ වූ න්‍යායයක් වන සමහර ඩයිනෝසරවලට පිහාටු තිබුණු <v>බව, 19වන සියවසේ සොයාගත්,</v> සනාථ කිරීම පමණක් නොව, ෆොසිලවල සාමාන්‍යයෙන් සැපයිය නොහැකි, ත්‍රිමාණ බව සහ වර්ණය වැනි විස්තර ද සැපයේ.	 
si	8	27	Addition	end	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	මෙයින්, දැනටමත් ප්‍රසිද්ධ වූ න්‍යායයක් වන සමහර ඩයිනෝසරවලට පිහාටු තිබුණු බව සනාථ කිරීම පමණක් නොව, ෆොසිලවල සාමාන්‍යයෙන් සැපයිය නොහැකි, ත්‍රිමාණ බව සහ වර්ණය වැනි විස්තර ද සැපයේ.	මෙයින්, දැනටමත් ප්‍රසිද්ධ වූ න්‍යායයක් වන සමහර ඩයිනෝසරවලට පිහාටු තිබුණු බව සනාථ කිරීම පමණක් නොව, ෆොසිලවල සාමාන්‍යයෙන් සැපයිය නොහැකි, ත්‍රිමාණ බව සහ වර්ණය වැනි විස්තර <v>ද, අහසට ගමන් කිරීමේ හැකියාවක් ඇති බවත්,</v> සැපයේ.	 
si	9	30	Addition	head	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	ඩයිනෝසර් පිහාටුවල හොඳින් වර්ධිත ප්‍රාක්ෂයක් ලෙස හැඳින්වෙන දණ්ඩක් නොමැති නමුත්, පිහාටුවල වෙනත් විශේෂාංග - නාරටි සහ පිච්කාංග - ඇති බැවින් ප්‍රාක්ෂ මෙම වෙනත් විශේෂාංග මෙන් පසුකාලීන පරිණාමීය සංවර්ධනයකට සමාන බව පර්යේෂකයෝ අනුමාන කරති.	ඩයිනෝසර් පිහාටුවල හොඳින් වර්ධිත ප්‍රාක්ෂයක් ලෙස හැඳින්වෙන දණ්ඩක් නොමැති නමුත්, පිහාටුවල වෙනත් විශේෂාංග - නාරටි සහ <v>මහාකාලීන විශේෂාංග</v> පිච්කාංග - ඇති බැවින් ප්‍රාක්ෂ මෙම වෙනත් විශේෂාංග මෙන් පසුකාලීන පරිණාමීය සංවර්ධනයකට සමාන බව පර්යේෂකයෝ අනුමාන කරති.	 
si	10	30	Addition	end	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	ඩයිනෝසර් පිහාටුවල හොඳින් වර්ධිත ප්‍රාක්ෂයක් ලෙස හැඳින්වෙන දණ්ඩක් නොමැති නමුත්, පිහාටුවල වෙනත් විශේෂාංග - නාරටි සහ පිච්කාංග - ඇති බැවින් ප්‍රාක්ෂ මෙම වෙනත් විශේෂාංග මෙන් පසුකාලීන පරිණාමීය සංවර්ධනයකට සමාන බව පර්යේෂකයෝ අනුමාන කරති.	ඩයිනෝසර් පිහාටුවල හොඳින් වර්ධිත ප්‍රාක්ෂයක් ලෙස හැඳින්වෙන දණ්ඩක් නොමැති නමුත්, පිහාටුවල වෙනත් විශේෂාංග - නාරටි සහ පිච්කාංග - ඇති බැවින් ප්‍රාක්ෂ මෙම වෙනත් විශේෂාංග මෙන් පසුකාලීන පරිණාමීය සංවර්ධනයකට සමාන බව පර්යේෂකයෝ අනුමාන කරති. <v>එසේම, ඔවුන්ට ඩයිනෝසර්වල ජීවිත කාලය පිළිබඳව ද තොරතුරු ඇත.</v>	 
