segment_id	spans	src	ref	merged_mt
14	39-61; 87-107; 114-115; 167-190; 227-228	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນ<v>ສຽດຂອງການປະຕິບັດທີ່ບໍ່ຖືກຕ້ອງ</v> ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ <v>their sport </v>ອາດຈະໄດ້<v>ພວກເຂົາເຈົ້າເປັນຄົນທີ່ຍິ່ງໃຫຍ່</v>ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບ<v>meaningful change</v>ພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ<v> ແລະສຸຂະພາບທີ່ດີຂຶ້ນ</v>.
14	39-61; 87-107; 114-115; 180-200; 227-228	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນ<v>ສຽດຂອງການປະຕິບັດທີ່ບໍ່ຖືກຕ້ອງ</v> ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ <v>their sport </v>ອາດຈະໄດ້<v>ພວກເຂົາເຈົ້າເປັນຄົນທີ່ຍິ່ງໃຫຍ່</v>ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່<v>ບໍ່ມີຜົນກະທົບສໍາຄັນຕໍ່ການດໍາເນີນງາ</v>ນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ<v> ແລະສຸຂະພາບທີ່ດີຂຶ້ນ</v>.
14	39-61; 87-107; 114-115; 167-195; 227-228	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນ<v>ສຽດຂອງການປະຕິບັດທີ່ບໍ່ຖືກຕ້ອງ</v> ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ <v>their sport </v>ອາດຈະໄດ້<v>ພວກເຂົາເຈົ້າເປັນຄົນທີ່ຍິ່ງໃຫຍ່</v>ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບ<v></v>ອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ<v> ແລະສຸຂະພາບທີ່ດີຂຶ້ນ</v>.
14	39-61; 83-107; 114-115; 167-190; 227-228	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນ<v>ສຽດຂອງການປະຕິບັດທີ່ບໍ່ຖືກຕ້ອງ</v> ແລະ ສະໂມສອນຂອງພວກເຮົາ <v></v>ອາດຈະໄດ້<v>ພວກເຂົາເຈົ້າເປັນຄົນທີ່ຍິ່ງໃຫຍ່</v>ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບ<v>meaningful change</v>ພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ<v> ແລະສຸຂະພາບທີ່ດີຂຶ້ນ</v>.
14	39-61; 83-107; 114-115; 180-200; 227-228	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນ<v>ສຽດຂອງການປະຕິບັດທີ່ບໍ່ຖືກຕ້ອງ</v> ແລະ ສະໂມສອນຂອງພວກເຮົາ <v></v>ອາດຈະໄດ້<v>ພວກເຂົາເຈົ້າເປັນຄົນທີ່ຍິ່ງໃຫຍ່</v>ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່<v>ບໍ່ມີຜົນກະທົບສໍາຄັນຕໍ່ການດໍາເນີນງາ</v>ນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ<v> ແລະສຸຂະພາບທີ່ດີຂຶ້ນ</v>.
14	39-61; 83-107; 114-115; 167-195; 227-228	We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນປະໂຫຍດຂອງບັນດານັກກິລາ ແລະ ສະໂມສອນຂອງພວກເຮົາ ແລະ ກິລາຂອງພວກເຂົາເຈົ້າອາດຈະໄດ້ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບການປ່ຽນແປງທີ່ມີຄວາມໝາຍພາຍໃນອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ.	ພວກເຮົາເຫັນດີກັບຄຳຖະແຫຼງຂອງ USOC ວ່າຜົນ<v>ສຽດຂອງການປະຕິບັດທີ່ບໍ່ຖືກຕ້ອງ</v> ແລະ ສະໂມສອນຂອງພວກເຮົາ <v></v>ອາດຈະໄດ້<v>ພວກເຂົາເຈົ້າເປັນຄົນທີ່ຍິ່ງໃຫຍ່</v>ຮັບການບໍລິການທີ່ດີກວ່າເກົ່າໂດຍການກ້າວໄປຂ້າງໜ້າພ້ອມກັບ<v></v>ອົງກອນຂອງພວກເຮົາຫຼາຍກ່ວາການຮັບຮອງ<v> ແລະສຸຂະພາບທີ່ດີຂຶ້ນ</v>.
27	34-47; 81-85; 86-87; 141-159; 182-183	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ ນີ້ບໍ່ພຽງແຕ່ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີຂົນ, ແຕ່ບໍ່ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບສີ ແລະ ການຈັດລຽງແບບສາມມິຕິ.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ <v></v>ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີ<v>feathers</v>, <v>ນອກຈາກນັ້ນຍັງມີຂ່າວລືວ່າເປັນສີບູລ້າມ, </v>ແຕ່ບໍ່ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ <v>color</v> ແລະ ການຈັດລຽງແບບສາມມິຕິ<v>, ການປະຕິບັດງານຂອງຄົນທີ່ເຮັດວຽກໃນເຂດນັ້ນ</v>.
27	34-47; 81-85; 86-87; 91-159; 182-183	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ ນີ້ບໍ່ພຽງແຕ່ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີຂົນ, ແຕ່ບໍ່ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບສີ ແລະ ການຈັດລຽງແບບສາມມິຕິ.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ <v></v>ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີ<v>feathers</v>, <v>ນອກຈາກນັ້ນຍັງມີຂ່າວລືວ່າເປັນສີບູລ້າມ, </v>ແຕ່ບໍ<v>ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບຄວາມໜ້າກົວ</v> ແລະ ການຈັດລຽງແບບສາມມິຕິ<v>, ການປະຕິບັດງານຂອງຄົນທີ່ເຮັດວຽກໃນເຂດນັ້ນ</v>.
27	34-47; 81-85; 86-87; 141-160; 182-183	This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ ນີ້ບໍ່ພຽງແຕ່ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີຂົນ, ແຕ່ບໍ່ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ ລາຍລະອຽດກ່ຽວກັບສີ ແລະ ການຈັດລຽງແບບສາມມິຕິ.	ທິດສະດີໄດ້ຖືກເຜີຍແຜ່ຢ່າງກວ້າງຂວາງ <v></v>ຢືນຢັນວ່າຢ່າງໜ້ອຍໄດໂນເສົາບາງຈຳພວກມີ<v>feathers</v>, <v>ນອກຈາກນັ້ນຍັງມີຂ່າວລືວ່າເປັນສີບູລ້າມ, </v>ແຕ່ບໍ່ສາມາດໃຫ້ລາຍລະອຽດໂດຍທົ່ວໄປຂອງຊາກດຶກດຳບັນໄດ້ ເຊັ່ນ <v></v>ແລະ ການຈັດລຽງແບບສາມມິຕິ<v>, ການປະຕິບັດງານຂອງຄົນທີ່ເຮັດວຽກໃນເຂດນັ້ນ</v>.
30	26-36; 110-116; 128-129; 131-143; 251-252	Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.	ເນື່ອງຈາກວ່າຂົນຂອງໄດໂນເສົາບໍ່ມີກ້ານ ຫຼື ເອີ້ນວ່າ ກ້ານຂົນທີ່ພັດທະນາໄດ້ດີ, ແຕ່ວ່າມັນມີຄຸນລັກສະນະອື່ນໆຂອງຂົນຄື - ມີໜາມ ແລະ ເສັ້ນຂົນ - ນັກຄົ້ນຄວ້າໄດ້ຊີ້ແຈງໃຫ້ເຫັນວ່າກ້ານຂົນມີຄວາມເປັນໄປໄດ້ວ່າຈະເປັນການພັດທະນາວິວັດທະນາການຊ່ວງສຸດທ້າຍຈົນມາເປັນຂົນຕ່າງໆເຫຼົ່ານີ້.	ເນື່ອງຈາກວ່າຂົນຂອງໄດໂນເສົາ<v>ມີກ້ານທີ່ສະບັບສະບັບ</v> ຫຼື ເອີ້ນວ່າ ກ້ານຂົນທີ່ພັດທະນາໄດ້ດີ, ແຕ່ວ່າມັນມີຄຸນລັກສະນະອື່ນໆຂອງຂົນຄື - <v>barbs</v> ແລະ ເສັ້ນຂົນ<v>ທີ່ຍາວກວ່າປົກກະຕິ</v> - <v>the researchers </v>ໄດ້ຊີ້ແຈງໃຫ້ເຫັນວ່າກ້ານຂົນມີຄວາມເປັນໄປໄດ້ວ່າຈະເປັນການພັດທະນາວິວັດທະນາການຊ່ວງສຸດທ້າຍຈົນມາເປັນຂົນຕ່າງໆເຫຼົ່ານີ້<v>, ລວມທັງການປະຕິວັດອຸດສາຫະກຳໃນຄົນສັດ</v>.
